t_sec,tick,drone,species,x,y,z,target_x,target_y,target_z,vx_cmd,vy_cmd,speed_cmd
3.6096,0,cf1,0,1.0000,1.0000,1.0000,0.9998,0.9974,1.0000,-0.0066,-0.0777,0.0780
3.6096,0,cf2,0,1.0000,0.0000,1.0000,0.9981,-0.0015,1.0000,-0.0571,-0.0457,0.0731
3.6096,0,cf3,0,1.0000,-1.0000,1.0000,0.9974,-0.9998,1.0000,-0.0773,0.0070,0.0776
3.6096,0,cf4,1,0.0000,1.0000,1.0000,0.0011,0.9985,1.0000,0.0328,-0.0465,0.0569
3.6096,0,cf5,1,0.0000,0.0000,1.0000,-0.0006,-0.0000,1.0000,-0.0179,-0.0000,0.0179
3.6096,0,cf6,1,0.0000,-1.0000,1.0000,-0.0020,-0.9985,1.0000,-0.0586,0.0465,0.0748
3.6096,0,cf7,2,-1.0000,1.0000,1.0000,-0.9981,1.0003,1.0000,0.0560,0.0103,0.0570
3.6096,0,cf8,2,-1.0000,0.0000,1.0000,-0.9991,0.0015,1.0000,0.0282,0.0457,0.0537
3.6096,0,cf9,2,-1.0000,-1.0000,1.0000,-1.0005,-0.9980,1.0000,-0.0147,0.0604,0.0621
3.6514,1,cf1,0,0.9998,0.9974,1.0000,0.9996,0.9948,1.0000,-0.0066,-0.0778,0.0781
3.6514,1,cf2,0,0.9981,-0.0015,1.0000,0.9962,-0.0030,1.0000,-0.0571,-0.0458,0.0732
3.6514,1,cf3,0,0.9974,-0.9998,1.0000,0.9948,-0.9995,1.0000,-0.0775,0.0069,0.0778
3.6514,1,cf4,1,0.0011,0.9985,1.0000,0.0022,0.9969,1.0000,0.0329,-0.0465,0.0570
3.6514,1,cf5,1,-0.0006,-0.0000,1.0000,-0.0012,0.0000,1.0000,-0.0178,0.0000,0.0178
3.6514,1,cf6,1,-0.0020,-0.9985,1.0000,-0.0039,-0.9969,1.0000,-0.0587,0.0466,0.0749
3.6514,1,cf7,2,-0.9981,1.0003,1.0000,-0.9963,1.0007,1.0000,0.0561,0.0104,0.0571
3.6514,1,cf8,2,-0.9991,0.0015,1.0000,-0.9981,0.0031,1.0000,0.0283,0.0458,0.0538
3.6514,1,cf9,2,-1.0005,-0.9980,1.0000,-1.0010,-0.9960,1.0000,-0.0147,0.0605,0.0623
3.6933,2,cf1,0,0.9996,0.9948,1.0000,0.9993,0.9922,1.0000,-0.0066,-0.0779,0.0782
3.6933,2,cf2,0,0.9962,-0.0030,1.0000,0.9943,-0.0046,1.0000,-0.0572,-0.0458,0.0733
3.6933,2,cf3,0,0.9948,-0.9995,1.0000,0.9923,-0.9993,1.0000,-0.0776,0.0069,0.0780
3.6933,2,cf4,1,0.0022,0.9969,1.0000,0.0033,0.9953,1.0000,0.0330,-0.0466,0.0571
3.6933,2,cf5,1,-0.0012,0.0000,1.0000,-0.0018,0.0000,1.0000,-0.0178,0.0001,0.0178
3.6933,2,cf6,1,-0.0039,-0.9969,1.0000,-0.0059,-0.9953,1.0000,-0.0588,0.0466,0.0750
3.6933,2,cf7,2,-0.9963,1.0007,1.0000,-0.9944,1.0010,1.0000,0.0563,0.0104,0.0572
3.6933,2,cf8,2,-0.9981,0.0031,1.0000,-0.9972,0.0046,1.0000,0.0283,0.0459,0.0540
3.6933,2,cf9,2,-1.0010,-0.9960,1.0000,-1.0015,-0.9939,1.0000,-0.0148,0.0607,0.0625
3.7354,3,cf1,0,0.9993,0.9922,1.0000,0.9991,0.9896,1.0000,-0.0065,-0.0780,0.0783
3.7354,3,cf2,0,0.9943,-0.0046,1.0000,0.9924,-0.0061,1.0000,-0.0573,-0.0458,0.0734
3.7354,3,cf3,0,0.9923,-0.9993,1.0000,0.9897,-0.9991,1.0000,-0.0778,0.0068,0.0781
3.7354,3,cf4,1,0.0033,0.9953,1.0000,0.0044,0.9938,1.0000,0.0330,-0.0466,0.0571
3.7354,3,cf5,1,-0.0018,0.0000,1.0000,-0.0024,0.0000,1.0000,-0.0178,0.0001,0.0178
