t_sec,tick,drone,species,x,y,z,target_x,target_y,target_z,vx_cmd,vy_cmd,speed_cmd
3.6085,0,cf1,0,1.0000,1.0000,1.0000,1.0006,0.9982,1.0000,0.0169,-0.0538,0.0564
3.6085,0,cf2,0,1.0000,0.0000,1.0000,0.9989,-0.0008,1.0000,-0.0323,-0.0252,0.0410
3.6085,0,cf3,2,1.0000,-1.0000,1.0000,0.9979,-1.0003,1.0000,-0.0616,-0.0091,0.0623
3.6085,0,cf4,0,0.0000,1.0000,1.0000,0.0022,0.9989,1.0000,0.0662,-0.0323,0.0737
3.6085,0,cf5,2,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
3.6085,0,cf6,1,0.0000,-1.0000,1.0000,-0.0022,-0.9989,1.0000,-0.0662,0.0323,0.0737
3.6085,0,cf7,2,-1.0000,1.0000,1.0000,-0.9979,1.0003,1.0000,0.0616,0.0091,0.0623
3.6085,0,cf8,1,-1.0000,0.0000,1.0000,-0.9989,0.0008,1.0000,0.0323,0.0252,0.0410
3.6085,0,cf9,1,-1.0000,-1.0000,1.0000,-1.0006,-0.9982,1.0000,-0.0169,0.0538,0.0564
3.6505,1,cf1,0,1.0006,0.9982,1.0000,1.0011,0.9964,1.0000,0.0170,-0.0539,0.0565
3.6505,1,cf2,0,0.9989,-0.0008,1.0000,0.9978,-0.0017,1.0000,-0.0325,-0.0253,0.0412
3.6505,1,cf3,2,0.9979,-1.0003,1.0000,0.9959,-1.0006,1.0000,-0.0618,-0.0090,0.0624
3.6505,1,cf4,0,0.0022,0.9989,1.0000,0.0044,0.9978,1.0000,0.0662,-0.0325,0.0738
3.6505,1,cf5,2,0.0000,0.0000,1.0000,0.0000,-0.0000,1.0000,0.0000,-0.0000,0.0000
3.6505,1,cf6,1,-0.0022,-0.9989,1.0000,-0.0044,-0.9978,1.0000,-0.0662,0.0325,0.0738
3.6505,1,cf7,2,-0.9979,1.0003,1.0000,-0.9959,1.0006,1.0000,0.0618,0.0090,0.0624
3.6505,1,cf8,1,-0.9989,0.0008,1.0000,-0.9978,0.0017,1.0000,0.0325,0.0253,0.0412
3.6505,1,cf9,1,-1.0006,-0.9982,1.0000,-1.0011,-0.9964,1.0000,-0.0170,0.0539,0.0565
3.6932,2,cf1,0,1.0011,0.9964,1.0000,1.0017,0.9946,1.0000,0.0171,-0.0540,0.0566
3.6932,2,cf2,0,0.9978,-0.0017,1.0000,0.9968,-0.0025,1.0000,-0.0326,-0.0253,0.0413
3.6932,2,cf3,2,0.9959,-1.0006,1.0000,0.9938,-1.0009,1.0000,-0.0619,-0.0090,0.0625
3.6932,2,cf4,0,0.0044,0.9978,1.0000,0.0066,0.9968,1.0000,0.0663,-0.0326,0.0739
3.6932,2,cf5,2,0.0000,-0.0000,1.0000,0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000
3.6932,2,cf6,1,-0.0044,-0.9978,1.0000,-0.0066,-0.9968,1.0000,-0.0663,0.0326,0.0739
3.6932,2,cf7,2,-0.9959,1.0006,1.0000,-0.9938,1.0009,1.0000,0.0619,0.0090,0.0625
3.6932,2,cf8,1,-0.9978,0.0017,1.0000,-0.9968,0.0025,1.0000,0.0326,0.0253,0.0413
3.6932,2,cf9,1,-1.0011,-0.9964,1.0000,-1.0017,-0.9946,1.0000,-0.0171,0.0540,0.0566
3.7351,3,cf1,0,1.0017,0.9946,1.0000,1.0023,0.9928,1.0000,0.0172,-0.0541,0.0567
3.7351,3,cf2,0,0.9968,-0.0025,1.0000,0.9957,-0.0034,1.0000,-0.0328,-0.0253,0.0414
3.7351,3,cf3,2,0.9938,-1.0009,1.0000,0.9918,-1.0012,1.0000,-0.0620,-0.0089,0.0627
3.7351,3,cf4,0,0.0066,0.9968,1.0000,0.0088,0.9957,1.0000,0.0664,-0.0327,0.0740
3.7351,3,cf5,2,0.0000,-0.0000,1.0000,0.0000,-0.0000,1.0000,0.0000,-0.0000,0.0000
3.7351,3,cf6,1,-0.0066,-0.9968,1.0000,-0.0088,-0.9957,1.0000,-0.0664,0.0327,0.0740
3.7351,3,cf7,2,-0.9938,1.0009,1.0000,-0.9918,1.0012,1.0000,0.0620,0.0089,0.0627
3.7351,3,cf8,1,-0.9968,0.0025,1.0000,-0.9957,0.0034,1.0000,0.0328,0.0253,0.0414
3.7351,3,cf9,1,-1.0017,-0.9946,1.0000,-1.0023,-0.9928,1.0000,-0.0172,0.0541,0.0567
3.7770,4,cf1,0,1.0023,0.9928,1.0000,1.0029,0.9910,1.0000,0.0173,-0.0542,0.0568
3.7770,4,cf2,0,0.9957,-0.0034,1.0000,0.9946,-0.0042,1.0000,-0.0329,-0.0253,0.0415
3.7770,4,cf3,2,0.9918,-1.0012,1.0000,0.9897,-1.0015,1.0000,-0.0622,-0.0089,0.0628
3.7770,4,cf4,0,0.0088,0.9957,1.0000,0.0111,0.9946,1.0000,0.0664,-0.0328,0.0741
3.7770,4,cf5,2,0.0000,-0.0000,1.0000,0.0000,-0.0000,1.0000,-0.0000,-0.0000,0.0000
3.7770,4,cf6,1,-0.0088,-0.9957,1.0000,-0.0111,-0.9946,1.0000,-0.0664,0.0328,0.0741
3.7770,4,cf7,2,-0.9918,1.0012,1.0000,-0.9897,1.0015,1.0000,0.0622,0.0089,0.0628
3.7770,4,cf8,1,-0.9957,0.0034,1.0000,-0.9946,0.0042,1.0000,0.0329,0.0253,0.0415
3.7770,4,cf9,1,-1.0023,-0.9928,1.0000,-1.0029,-0.9910,1.0000,-0.0173,0.0542,0.0568
3.8185,5,cf1,0,1.0029,0.9910,1.0000,1.0034,0.9892,1.0000,0.0174,-0.0543,0.0570
3.8185,5,cf2,0,0.9946,-0.0042,1.0000,0.9935,-0.0051,1.0000,-0.0330,-0.0254,0.0417
3.8185,5,cf3,2,0.9897,-1.0015,1.0000,0.9876,-1.0018,1.0000,-0.0623,-0.0088,0.0629
3.8185,5,cf4,0,0.0111,0.9946,1.0000,0.0133,0.9935,1.0000,0.0665,-0.0329,0.0742
3.8185,5,cf5,2,0.0000,-0.0000,1.0000,0.0000,-0.0000,1.0000,0.0000,-0.0000,0.0000
3.8185,5,cf6,1,-0.0111,-0.9946,1.0000,-0.0133,-0.9935,1.0000,-0.0665,0.0329,0.0742
3.8185,5,cf7,2,-0.9897,1.0015,1.0000,-0.9876,1.0018,1.0000,0.0623,0.0088,0.0629
3.8185,5,cf8,1,-0.9946,0.0042,1.0000,-0.9935,0.0051,1.0000,0.0330,0.0254,0.0417
3.8185,5,cf9,1,-1.0029,-0.9910,1.0000,-1.0034,-0.9892,1.0000,-0.0174,0.0543,0.0570
3.8608,6,cf1,0,1.0034,0.9892,1.0000,1.0040,0.9874,1.0000,0.0175,-0.0543,0.0571
3.8608,6,cf2,0,0.9935,-0.0051,1.0000,0.9924,-0.0059,1.0000,-0.0331,-0.0255,0.0418
3.8608,6,cf3,2,0.9876,-1.0018,1.0000,0.9855,-1.0021,1.0000,-0.0624,-0.0088,0.0631
3.8608,6,cf4,0,0.0133,0.9935,1.0000,0.0155,0.9924,1.0000,0.0665,-0.0330,0.0742
3.8608,6,cf5,2,0.0000,-0.0000,1.0000,0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000
3.8608,6,cf6,1,-0.0133,-0.9935,1.0000,-0.0155,-0.9924,1.0000,-0.0665,0.0330,0.0742
3.8608,6,cf7,2,-0.9876,1.0018,1.0000,-0.9855,1.0021,1.0000,0.0624,0.0088,0.0631
3.8608,6,cf8,1,-0.9935,0.0051,1.0000,-0.9924,0.0059,1.0000,0.0331,0.0255,0.0418
3.8608,6,cf9,1,-1.0034,-0.9892,1.0000,-1.0040,-0.9874,1.0000,-0.0175,0.0543,0.0571
3.9029,7,cf1,0,1.0040,0.9874,1.0000,1.0046,0.9856,1.0000,0.0176,-0.0544,0.0572
3.9029,7,cf2,0,0.9924,-0.0059,1.0000,0.9913,-0.0068,1.0000,-0.0331,-0.0257,0.0419
3.9029,7,cf3,2,0.9855,-1.0021,1.0000,0.9834,-1.0024,1.0000,-0.0626,-0.0087,0.0632
3.9029,7,cf4,0,0.0155,0.9924,1.0000,0.0177,0.9913,1.0000,0.0664,-0.0329,0.0741
3.9029,7,cf5,2,0.0000,-0.0000,1.0000,0.0000,-0.0000,1.0000,0.0000,-0.0000,0.0000
3.9029,7,cf6,1,-0.0155,-0.9924,1.0000,-0.0177,-0.9913,1.0000,-0.0664,0.0329,0.0741
3.9029,7,cf7,2,-0.9855,1.0021,1.0000,-0.9834,1.0024,1.0000,0.0626,0.0087,0.0632
3.9029,7,cf8,1,-0.9924,0.0059,1.0000,-0.9913,0.0068,1.0000,0.0331,0.0257,0.0419
3.9029,7,cf9,1,-1.0040,-0.9874,1.0000,-1.0046,-0.9856,1.0000,-0.0176,0.0544,0.0572
