ori_case,k12_pos,k21_pos,k12_ori,k21_ori,seed,R1,R2,Rdiff,K,d11,d22,d12,revs,samples
A,0.1,0.0,0.0,0.0,123,11.825587386910154,16.900095180967714,-5.07450779405756,63.25557008637968,16.4177879791112,23.575594867777685,268.37610013053944,0.06664615694713998,20
A,0.1,0.275,0.0,0.0,133,14.22254934274232,11.391626075067066,2.8309232676752543,37.43816512236301,19.891526564793782,15.797464268412018,133.55757127015937,0.0034175596625256642,20
A,0.1,0.55,0.0,0.0,143,61.118434497126884,10.037038011776424,51.08139648535046,9.106427634751276,79.65433347652997,13.919894262618303,63.59094680184835,0.0240256413166299,20
A,0.1,0.8250000000000001,0.0,0.0,153,64.91823232917977,9.299028307593577,55.6192040215862,0.3892238451586897,82.32188446637518,12.885053830360084,65.27253177374004,-0.062419332639102786,20
A,0.1,1.1,0.0,0.0,163,64.20553038840674,8.646560939305926,55.558969449100815,0.08934851467472617,82.67885589297238,11.963982966924295,64.51832272377742,-0.5400033996635282,20
A,0.325,0.0,0.0,0.0,1123,11.308551462363292,25.109409233568215,-13.800857771204923,115.93323449811388,15.673247618433361,34.015521174888896,150.7136107553402,-0.003434796712109367,20
A,0.325,0.275,0.0,0.0,1133,11.087122803079462,16.365418478640372,-5.278295675560909,8.133279740156443,15.38666226659509,22.825433100851324,57.81397382752177,-0.012481478762869891,20
A,0.325,0.55,0.0,0.0,1143,29.28398823281072,9.17731737520929,20.10667085760143,0.5604512433830942,38.196909864730465,12.705169688444354,30.348868601142726,-0.16441640885034994,20
A,0.325,0.8250000000000001,0.0,0.0,1153,29.516696290771012,7.947998770875708,21.568697519895302,0.010668531480143139,38.46190219960836,10.995792869384985,30.11986811471605,0.0034007387141029364,20
A,0.325,1.1,0.0,0.0,1163,29.526777727241885,7.126091825955091,22.400685901286796,0.0033118337475256934,38.47731664474581,9.852511352991463,30.009945987477106,0.058241293356078375,20
A,0.55,0.0,0.0,0.0,2123,10.501752598980822,97.56958319841712,-87.0678305994363,5.493479296996602,14.553350321326135,126.48916897334591,99.02741702390531,0.04967172985789252,20
A,0.55,0.275,0.0,0.0,2133,9.370118821917131,27.84338795752989,-18.47326913561276,19.97669954588806,12.974528933405239,37.25256702193782,35.805325322865386,-0.01717779500271248,20
A,0.55,0.55,0.0,0.0,2143,12.789983741108099,10.297767405397988,2.49221633571011,0.27771147364508586,17.791864386861146,14.38081622993835,19.807547067836474,-0.00869438876273913,20
A,0.55,0.8250000000000001,0.0,0.0,2153,17.130126212132726,7.043764805280958,10.086361406851768,0.0010857598943897332,22.4011828645018,9.738706634387606,17.956958791493612,-0.6626503467555387,20
A,0.55,1.1,0.0,0.0,2163,17.10155314571015,6.090638629697845,11.010914516012303,0.0007992824909282522,22.36237375175813,8.417158632408354,17.717250806461195,0.20573308739759064,20
A,0.775,0.0,0.0,0.0,3123,9.972410988482702,98.88487247579144,-88.91246148730873,0.16631784775830843,13.816477898570398,128.23086779038675,99.16573157189075,0.08425632760271952,20
A,0.775,0.275,0.0,0.0,3133,8.3723567066718,34.14609886523474,-25.773742158562936,0.034872029231777284,11.587434262997448,44.47722692274996,34.726113453187644,-0.026032166344098023,20
A,0.775,0.55,0.0,0.0,3143,7.265207404022564,17.13615647222931,-9.870949068206746,0.0038903808908283257,10.05666437600204,22.409029054417537,18.019186494921772,0.016011357916256838,20
A,0.775,0.8250000000000001,0.0,0.0,3153,10.022113915971774,7.6065830775673415,2.4155308384044316,0.0028019772119526943,13.80385427061901,10.517441871231117,12.09917213782509,-0.1542754415542866,20
A,0.775,1.1,0.0,0.0,3163,11.2355740627615,5.388259654481365,5.847314408280136,0.007862736395207293,14.75080805939906,7.443865964117317,11.984412373661417,-0.49834523486204163,20
A,1.0,0.0,0.0,0.0,4123,9.55550375552457,99.85148937649112,-90.29598562096655,0.6795281409118578,13.231563847733872,127.99018551148959,100.07045426541501,0.4557804242773036,20
A,1.0,0.275,0.0,0.0,4133,7.671743781777614,34.172178841768115,-26.500435059990497,0.008497370921129562,10.60784406637534,44.50267467957719,34.65510081771147,-0.05530721530338695,20
A,1.0,0.55,0.0,0.0,4143,6.391705592281947,17.110102393404105,-10.718396801122157,0.0006538423216890893,8.83161611810494,22.37556340615157,17.788585854737484,-0.2956043780077615,20
A,1.0,0.8250000000000001,0.0,0.0,4153,5.905681646631214,9.91462945995787,-4.008947813326658,0.0009353877237404384,8.11939335432819,13.362896742550816,11.094225366237607,-0.2646018675401786,20
A,1.0,1.1,0.0,0.0,4163,7.148632949024902,5.601568160906872,1.5470647881180297,0.0006300042312741184,9.913116238019091,7.71060097675079,8.743964729800563,-0.2816198278907389,20
